technique_id_parent,technique_name_parent,tactic_ids,tactic_titles,n_rows_grouped,has_parent_row,member_technique_ids,member_technique_names,subtechnique_ids,subtechnique_names
T1653,Power Settings,persistence,Persistence,1,1,T1653,Power Settings,,
T1654,Log Enumeration,discovery,Discovery,1,1,T1654,Log Enumeration,,
T1656,Impersonation,defense-evasion,Defense Evasion,1,1,T1656,Impersonation,,
T1657,Financial Theft,impact,Impact,1,1,T1657,Financial Theft,,
T1659,Content Injection,initial-access || command-and-control,Initial Access || Command And Control,2,1,T1659,Content Injection,,
T1665,Hide Infrastructure,command-and-control,Command And Control,1,1,T1665,Hide Infrastructure,,
T1666,Modify Cloud Resource Hierarchy,defense-evasion,Defense Evasion,1,1,T1666,Modify Cloud Resource Hierarchy,,
T1667,Email Bombing,impact,Impact,1,1,T1667,Email Bombing,,
T1668,Exclusive Control,persistence,Persistence,1,1,T1668,Exclusive Control,,
T1669,Wi-Fi Networks,initial-access,Initial Access,1,1,T1669,Wi-Fi Networks,,
T1671,Cloud Application Integration,persistence,Persistence,1,1,T1671,Cloud Application Integration,,
T1672,Email Spoofing,defense-evasion,Defense Evasion,1,1,T1672,Email Spoofing,,
T1673,Virtual Machine Discovery,discovery,Discovery,1,1,T1673,Virtual Machine Discovery,,
T1674,Input Injection,execution,Execution,1,1,T1674,Input Injection,,
T1675,ESXi Administration Command,execution,Execution,1,1,T1675,ESXi Administration Command,,
T1677,Poisoned Pipeline Execution,execution,Execution,1,1,T1677,Poisoned Pipeline Execution,,
T1678,Delay Execution,defense-evasion,Defense Evasion,1,1,T1678,Delay Execution,,
T1679,Selective Exclusion,defense-evasion,Defense Evasion,1,1,T1679,Selective Exclusion,,
T1680,Local Storage Discovery,discovery,Discovery,1,1,T1680,Local Storage Discovery,,
T1681,Search Threat Vendor Data,reconnaissance,Reconnaissance,1,1,T1681,Search Threat Vendor Data,,
